La Calaka - Expense Report
Week: SEMANA 3   LUNES  20   ENERO    2026
Exported: 1/27/2026, 2:36:46 PM

COST BREAKDOWN
Category,Initial ($),Purchases ($),Final ($),Sales ($),Cost %

INVOICES/PURCHASES
Provider,Category,Quantity,Unit Price,Total
"Jager",undefined,0,undefined,NaN
"Johnnie Walker Red Label 750ml",undefined,0,undefined,NaN
"Kahlua Coffee Liquor 750ml",undefined,0,undefined,NaN
"Licor 43 750ml",undefined,0,undefined,NaN
"Licor de Menta",undefined,0,undefined,NaN
"Malibu Coconut Rum 750ml",undefined,0,undefined,NaN
"Martini Proseco",undefined,0,undefined,NaN
"McGuiness Peach",undefined,1,undefined,NaN
"Mezcal del Maguey Vida 750ml",undefined,1,undefined,NaN
"Mezcal vida PUEBLA  750ml",undefined,0,undefined,NaN
"Mezcal Verde 700ml",undefined,0,undefined,NaN
"Rompope",undefined,0,undefined,NaN
"Smirnoff Vodka 750ml",undefined,1,undefined,NaN
"Tequila 1800 Reposado 750ml",undefined,0,undefined,NaN
"Tequila 1800 White  750ml",undefined,0,undefined,NaN
"Tequila 1800 Coco-NUT",undefined,0,undefined,NaN
"Tequila Casamigos Anejo 750ml",undefined,0,undefined,NaN
"Tequila Casamigos Blanco 750ml",undefined,0,undefined,NaN
"Tequila Don Julio 70th 750ml",undefined,0,undefined,NaN
"Tequila Don Julio Blanco 750ml",undefined,0,undefined,NaN
"Tequila Don Julio Reposado 750ml",undefined,0,undefined,NaN
"Tequila Herradura Reposado 750ml",undefined,0,undefined,NaN
"Tequila Herradura Silver 750ml",undefined,0,undefined,NaN
"Tequila Jose Cuervo Especial",undefined,0,undefined,NaN
"Tequila Jose Cuervo Reposado  Tradicional 750ml",undefined,4,undefined,NaN
"Tequila Patron Anejo 750ml",undefined,0,undefined,NaN
"Tequila Patron Silver 750ml",undefined,0,undefined,NaN
"Tequila Siempre Añejo 750ml",undefined,0,undefined,NaN
"Tequila Siempre Plata 750ml",undefined,1,undefined,NaN
"Tequila Siempre Reposado 750ml",undefined,0,undefined,NaN
"Tequila Spolon",undefined,0,undefined,NaN
"Tequila Tromba Reposado 750ml",undefined,0,undefined,NaN
"The Famous Grouse Whisky 750ml",undefined,0,undefined,NaN
"Triple Sec Mcguinness 750ml",undefined,0,undefined,NaN
"Triple Sec Meaghers 750ml",undefined,0,undefined,NaN
"Whiskey Black 750ml",undefined,0,undefined,NaN
"Wine Open Blanco",undefined,0,undefined,NaN
"Wine Open Red",undefined,0,undefined,NaN
"Agua embotellada ",undefined,0,undefined,NaN
"Agua Perrier",undefined,0,undefined,NaN
"Baging Box Refrescos Coca-Cola (20 lts)",undefined,0,undefined,NaN
"Baging Box Refrescos Coca-Diet (20 lts)",undefined,0,undefined,NaN
"Baging Box Refrescos Gingerale (20 lts)",undefined,0,undefined,NaN
"Cafe de Olla concentrado",undefined,0,undefined,NaN
"Co2 Gas Carbonico",undefined,0,undefined,NaN
"Coca Cola Mexico",undefined,48,undefined,NaN
"Jarrito Mandarina",undefined,0,undefined,NaN
"Jarrito Mango",undefined,24,undefined,NaN
"Jarrito Pina",undefined,0,undefined,NaN
"Jarrito Toronja",undefined,0,undefined,NaN
"Lata Coca Cola",undefined,64,undefined,NaN
"Lata Coca Light",undefined,0,undefined,NaN
"Lata Coca Zero",undefined,0,undefined,NaN
"Lata Gingel Ale",undefined,32,undefined,NaN
"Sangria Senorial",undefined,0,undefined,NaN
"Toni-Col",undefined,0,undefined,NaN
"Arrachera (angus skirt AAA)",undefined,10.3,undefined,NaN
"Birria",undefined,10,undefined,NaN
"Carne Asada (boneless eye round)",undefined,45.85,undefined,NaN
"Chicharrones (pork fat) Sushicharron Roll",undefined,0,undefined,NaN
"Chorizo para Tacos",undefined,0,undefined,NaN
"Frijol Puerco (bolsa 3 kg)",undefined,9,undefined,NaN
"Manteca de Res (beef lard  tallow)",undefined,0,undefined,NaN
"Pollo",undefined,11.1,undefined,NaN
"Tocino (paquete .500 gr) (4pzas)",undefined,0,undefined,NaN
"Tocino caja (caja 5 kg)",undefined,0,undefined,NaN
"CARNITAS ",undefined,30,undefined,NaN
"Cerveza de Barril  - SAPPORO 30 LITROS KET",undefined,0,undefined,NaN
"Cerveza de Barril  - PBR 30 LITRO SKET ",undefined,0,undefined,NaN
"Corona Extra",undefined,120,undefined,NaN
"XX Lager",undefined,72,undefined,NaN
"Modelo Especial",undefined,96,undefined,NaN
"Negra Modelo",undefined,192,undefined,NaN
"Tecate ",undefined,24,undefined,NaN
"Destapador de Botellas (en bar)",undefined,0,undefined,NaN
"Azucarero para sobres (en bar)",undefined,0,undefined,NaN
"Botellas p/agua",undefined,0,undefined,NaN
"Bulldog Holder",undefined,0,undefined,NaN
"Charola servicio Bar",undefined,0,undefined,NaN
"Charola servicio Rectangular",undefined,0,undefined,NaN
"Chavela",undefined,0,undefined,NaN
"Copa Martinera",undefined,0,undefined,NaN
"Copa p/frappe",undefined,0,undefined,NaN
"Cremero de aluminio",undefined,0,undefined,NaN
"Cubetas de Cerveza",undefined,0,undefined,NaN
"Cuchara P/sopa",undefined,0,undefined,NaN
"Cuchara P/ café",undefined,0,undefined,NaN
"Cuchillo P/ servicio",undefined,0,undefined,NaN
"Exacto pour (para muestras de bar)",undefined,0,undefined,NaN
"Jarra Refill Agua de Sabor (transparentes)",undefined,0,undefined,NaN
"Jarra p/café Bunn Cristal (cafetera de vidrio)",undefined,0,undefined,NaN
"Menu Veggie ",undefined,0,undefined,NaN
"Menus triptico",undefined,0,undefined,NaN
"Molcajete Chico",undefined,0,undefined,NaN
"Molcajete Grande",undefined,0,undefined,NaN
"Plato Barro Birria y Pozole",undefined,0,undefined,NaN
"Plato Ovalado Melamina para Yakimeshi",undefined,0,undefined,NaN
"Plato p/ 3 tacos ceramica rectangular",undefined,0,undefined,NaN
"Plato para compartir BLANCO ",undefined,0,undefined,NaN
"Plato plastico para frituras (CANASTAS)",undefined,0,undefined,NaN
"Plato Redondo Aguachile",undefined,0,undefined,NaN
"Plato Sushi Cuadrado",undefined,0,undefined,NaN
"Plato Sushi de Mariscos con orificio en medio",undefined,0,undefined,NaN
"Plato Sushi Rectangular Melamina",undefined,0,undefined,NaN
"Portacuentas",undefined,0,undefined,NaN
"Radio Audifonos",undefined,0,undefined,NaN
"Radio Cargadores",undefined,0,undefined,NaN
"Radios",undefined,0,undefined,NaN
"Ramekin 4 oz melamina",undefined,0,undefined,NaN
"Salero",undefined,0,undefined,NaN
"Salseros C/4 ramekin de metal",undefined,0,undefined,NaN
"Ramekin de Metal",undefined,0,undefined,NaN
"Soyero nuevos redondos pequenos",undefined,0,undefined,NaN
"Tablas Redondas Molcajete",undefined,0,undefined,NaN
"Taza p/café",undefined,0,undefined,NaN
"Taza p/capuccino",undefined,0,undefined,NaN
"Taza p/expresso",undefined,0,undefined,NaN
"Tend-Cards Acrilico ( acrilicos de las mesas)",undefined,0,undefined,NaN
"Tenedor  P/servicio paq c/36 piezas",undefined,0,undefined,NaN
"Thermo Para Café (los de aluminio)",undefined,0,undefined,NaN
"Tortillero Plastico y cestas (color para las tortillas calientes)",undefined,0,undefined,NaN
"Vaso 1 oz P/ Shot tequila",undefined,0,undefined,NaN
"Vaso 10.5 oz carajillo",undefined,0,undefined,NaN
"Vaso 12 oz P/Paloma",undefined,0,undefined,NaN
"Vaso 8 oz plastico p/agua",undefined,0,undefined,NaN
"Vaso Cerveza de Barril",undefined,0,undefined,NaN
"Vaso Cubiertos",undefined,0,undefined,NaN
"Vaso Mason 1 Litro",undefined,0,undefined,NaN
"Vaso Mason 1/2 Litro",undefined,0,undefined,NaN
"Vaso 16oz plastico (aguas frescas - Refill)",undefined,0,undefined,NaN
"Plato Sopero Melamina 7" (NEGRO)",undefined,0,undefined,NaN
"Tarro Cerveza para Michelada",undefined,0,undefined,NaN
"Buffetera",undefined,0,undefined,NaN
"Vaso Margarita ",undefined,0,undefined,NaN
"Menu postres",undefined,0,undefined,NaN
"Menu Bar",undefined,0,undefined,NaN
"Flores de decoracion para mesas",undefined,0,undefined,NaN
"Hand Sanitizer Gel de mesas",undefined,0,undefined,NaN
"Abre latas para cocina",undefined,0,undefined,NaN
"Crema Acida (SourCream)",undefined,0,undefined,NaN
"Huevo (cartera 30 pzs)",undefined,0,undefined,NaN
"Huevo por caja (15 docenas)",undefined,0,undefined,NaN
"Leche",undefined,0,undefined,NaN
"Margarina  4 KG ",undefined,0,undefined,NaN
"Q. FETA",undefined,1,undefined,NaN
"Q. Mozzarella Rallado bolsas 2 kilos",undefined,6,undefined,NaN
